Learning Content,Availability Status,Available Capacity,Sydney Start Date,Sydney End Date,Sydney Registration Deadline
Customer Accounts and Customer Contracts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-04 17:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-13 23:00:00+10:00,2024-04-04 17:00:00+11:00
Advanced HCM - Learn Virtual,Open,Yes,2024-04-09 15:00:00+10:00,2024-04-11 20:00:00+10:00,2024-04-04 17:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-04-09 17:00:00+10:00,2024-04-11 22:00:00+10:00,2024-04-04 19:00:00+11:00
Workday Extend: Advanced Data and Orchestration Services - Learn Virtual,Open,Yes,2024-04-09 17:00:00+10:00,2024-04-11 22:00:00+10:00,2024-04-04 19:00:00+11:00
Payroll Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 18:30:00+10:00,2024-04-14 03:30:00+10:00,2024-04-04 20:30:00+11:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-09 19:00:00+10:00,2024-04-13 03:00:00+10:00,2024-04-04 21:00:00+11:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-04-09 19:00:00+10:00,2024-04-11 00:00:00+10:00,2024-04-04 21:00:00+11:00
Talent Optimization Consulting Core - Learn Virtual,Open,Yes,2024-04-09 19:00:00+10:00,2024-04-14 03:00:00+10:00,2024-04-04 21:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 09:00:00+10:00,2024-04-12 18:00:00+10:00,2024-04-04 10:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-09 09:00:00+10:00,2024-04-12 17:00:00+10:00,2024-04-04 10:00:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 11:00:00+10:00,2024-04-12 20:00:00+10:00,2024-04-04 13:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 11:00:00+10:00,2024-04-12 20:00:00+10:00,2024-04-04 13:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 11:00:00+10:00,2024-04-12 20:00:00+10:00,2024-04-04 13:00:00+11:00
Cloud Connect Third Party Payroll Maintenance - Learn Virtual,Open,Yes,2024-04-09 13:00:00+10:00,2024-04-12 18:00:00+10:00,2024-04-04 15:00:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-09 17:30:00+10:00,2024-04-13 02:30:00+10:00,2024-04-04 19:30:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-10 00:30:00+10:00,2024-04-13 09:30:00+10:00,2024-04-05 02:30:00+11:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-04-10 01:00:00+10:00,2024-04-13 09:00:00+10:00,2024-04-05 03:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-10 01:00:00+10:00,2024-04-13 09:00:00+10:00,2024-04-05 03:00:00+11:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-04-10 03:00:00+10:00,2024-04-13 11:00:00+10:00,2024-04-05 05:00:00+11:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-04-10 03:00:00+10:00,2024-04-11 08:00:00+10:00,2024-04-05 05:00:00+11:00
Financial Fundamentals - Learn In-Person,Open,Yes,2024-04-10 03:00:00+10:00,2024-04-13 11:00:00+10:00,2024-04-05 05:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-10 03:00:00+10:00,2024-04-13 11:00:00+10:00,2024-04-05 05:00:00+11:00
Learning Consulting Core - Learn Virtual,Open,Yes,2024-04-10 12:30:00+10:00,2024-04-13 21:30:00+10:00,2024-04-05 14:30:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-10 12:30:00+10:00,2024-04-13 21:30:00+10:00,2024-04-05 14:30:00+11:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-05 15:00:00+11:00
Advanced Composite Reporting - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-11 18:00:00+10:00,2024-04-05 15:00:00+11:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-05 15:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-05 15:00:00+11:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-05 15:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-05 15:00:00+11:00
Student Fundamentals - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-05 15:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-05 15:00:00+11:00
Benefits Fundamentals - Learn Virtual,Open,Yes,2024-04-10 13:00:00+10:00,2024-04-13 21:00:00+10:00,2024-04-05 15:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-10 14:30:00+10:00,2024-04-13 23:30:00+10:00,2024-04-05 16:30:00+11:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-04-10 15:00:00+10:00,2024-04-13 23:00:00+10:00,2024-04-05 17:00:00+11:00
HCM Fundamentals - Learn In-Person,Open,Yes,2024-04-10 15:00:00+10:00,2024-04-13 23:00:00+10:00,2024-04-05 17:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-10 15:00:00+10:00,2024-04-13 23:00:00+10:00,2024-04-05 17:00:00+11:00
Compensation Fundamentals - Learn In-Person,Open,Yes,2024-04-10 15:00:00+10:00,2024-04-13 23:00:00+10:00,2024-04-05 17:00:00+11:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-10 15:00:00+10:00,2024-04-13 23:00:00+10:00,2024-04-05 17:00:00+11:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-04-10 19:00:00+10:00,2024-04-13 00:00:00+10:00,2024-04-05 21:00:00+11:00
Prism Analytics Consulting Core - Learn Virtual,Open,Yes,2024-04-10 19:00:00+10:00,2024-04-14 01:00:00+10:00,2024-04-05 21:00:00+11:00
Benefits Fundamentals - Learn Virtual,Open,Yes,2024-04-10 19:00:00+10:00,2024-04-14 03:00:00+10:00,2024-04-05 21:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-10 19:00:00+10:00,2024-04-14 03:00:00+10:00,2024-04-05 21:00:00+11:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-11 13:00:00+10:00,2024-04-12 18:00:00+10:00,2024-04-06 15:00:00+11:00
Prism Analytics - Learn Virtual,Open,Yes,2024-04-11 13:00:00+10:00,2024-04-13 18:00:00+10:00,2024-04-06 15:00:00+11:00
Performance Enablement - Learn Virtual,Open,Yes,2024-04-11 13:00:00+10:00,2024-04-13 18:00:00+10:00,2024-04-06 15:00:00+11:00
Onboarding Fundamentals - Learn Virtual,Open,Yes,2024-04-11 13:00:00+10:00,2024-04-12 18:00:00+10:00,2024-04-06 15:00:00+11:00
Advanced Recruiting - Learn Virtual,Open,Yes,2024-04-11 13:00:00+10:00,2024-04-12 18:00:00+10:00,2024-04-06 15:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-04-11 15:00:00+10:00,2024-04-13 20:00:00+10:00,2024-04-08 15:00:00+10:00
Advanced Recruiting - Learn Virtual,Open,Yes,2024-04-11 11:00:00+10:00,2024-04-12 16:00:00+10:00,2024-04-08 11:00:00+10:00
Advanced Configurable Security - Learn Virtual,Open,Yes,2024-04-12 03:00:00+10:00,2024-04-13 08:00:00+10:00,2024-04-09 03:00:00+10:00
Workday Report Designer (BIRT) - Learn Virtual,Open,Yes,2024-04-12 13:00:00+10:00,2024-04-13 18:00:00+10:00,2024-04-09 13:00:00+10:00
Inbound EIB Integrations - Learn Virtual,Open,Yes,2024-04-12 13:00:00+10:00,2024-04-13 18:00:00+10:00,2024-04-09 13:00:00+10:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-04-12 15:00:00+10:00,2024-04-13 20:00:00+10:00,2024-04-09 15:00:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-12 19:00:00+10:00,2024-04-14 00:00:00+10:00,2024-04-09 19:00:00+10:00
Payroll Services Practical - Learn Virtual,Open,Yes,2024-04-15 09:00:00+10:00,2024-04-19 17:00:00+10:00,2024-04-10 09:00:00+10:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-04-15 11:00:00+10:00,2024-04-19 17:00:00+10:00,2024-04-10 11:00:00+10:00
Financial Accounting - Learn Virtual,Open,Yes,2024-04-15 11:00:00+10:00,2024-04-18 16:00:00+10:00,2024-04-10 11:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-15 13:00:00+10:00,2024-04-19 21:00:00+10:00,2024-04-10 13:00:00+10:00
Adaptive Planning Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-15 13:00:00+10:00,2024-04-19 19:00:00+10:00,2024-04-10 13:00:00+10:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-15 18:00:00+10:00,2024-04-20 00:00:00+10:00,2024-04-10 18:00:00+10:00
Adaptive Planning Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 01:00:00+10:00,2024-04-20 07:00:00+10:00,2024-04-11 01:00:00+10:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-16 01:00:00+10:00,2024-04-20 07:00:00+10:00,2024-04-11 01:00:00+10:00
Advanced HCM - Learn Virtual,Open,Yes,2024-04-16 03:00:00+10:00,2024-04-18 08:00:00+10:00,2024-04-11 03:00:00+10:00
Prism Analytics Consulting Core - Learn Virtual,Open,Yes,2024-04-16 03:00:00+10:00,2024-04-19 09:00:00+10:00,2024-04-11 03:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-04-16 03:00:00+10:00,2024-04-18 08:00:00+10:00,2024-04-11 03:00:00+10:00
Customer Accounts and Customer Contracts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 03:00:00+10:00,2024-04-20 09:00:00+10:00,2024-04-11 03:00:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-16 03:00:00+10:00,2024-04-18 08:00:00+10:00,2024-04-11 03:00:00+10:00
Customer Accounts and Customer Contracts - Learn Virtual,Open,Yes,2024-04-16 03:00:00+10:00,2024-04-19 08:00:00+10:00,2024-04-11 03:00:00+10:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-16 03:00:00+10:00,2024-04-20 11:00:00+10:00,2024-04-11 03:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-16 03:00:00+10:00,2024-04-20 11:00:00+10:00,2024-04-11 03:00:00+10:00
Advanced Compensation Consulting Core - Learn Virtual,Open,Yes,2024-04-16 12:30:00+10:00,2024-04-20 21:30:00+10:00,2024-04-11 12:30:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-18 18:00:00+10:00,2024-04-11 13:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-18 18:00:00+10:00,2024-04-11 13:00:00+10:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-19 21:00:00+10:00,2024-04-11 13:00:00+10:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-19 21:00:00+10:00,2024-04-11 13:00:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-19 21:00:00+10:00,2024-04-11 13:00:00+10:00
XSLT for Workday - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-17 18:00:00+10:00,2024-04-11 13:00:00+10:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-20 19:00:00+10:00,2024-04-11 13:00:00+10:00
Workday Extend: Advanced Presentation Components - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-18 18:00:00+10:00,2024-04-11 13:00:00+10:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-20 19:00:00+10:00,2024-04-11 13:00:00+10:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-18 18:00:00+10:00,2024-04-11 13:00:00+10:00
Student Recruiting and Admissions Fundamentals - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-18 18:00:00+10:00,2024-04-11 13:00:00+10:00
Adaptive Planning Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-20 19:00:00+10:00,2024-04-11 13:00:00+10:00
Procure to Pay Fundamentals - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-19 18:00:00+10:00,2024-04-11 13:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-20 21:00:00+10:00,2024-04-11 13:00:00+10:00
Accounting Center - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-18 18:00:00+10:00,2024-04-11 13:00:00+10:00
Student Recruiting and Admissions Consulting Core - Learn Virtual,Open,Yes,2024-04-16 13:00:00+10:00,2024-04-19 21:00:00+10:00,2024-04-11 13:00:00+10:00
Recruiting Consulting Core - Learn Virtual,Open,Yes,2024-04-16 14:30:00+10:00,2024-04-20 23:30:00+10:00,2024-04-11 14:30:00+10:00
Absence and Leave Consulting Core - Learn Virtual,Open,Yes,2024-04-16 14:30:00+10:00,2024-04-20 23:30:00+10:00,2024-04-11 14:30:00+10:00
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-04-16 15:00:00+10:00,2024-04-19 23:00:00+10:00,2024-04-11 15:00:00+10:00
Procure to Pay Consulting Core - Learn Virtual,Open,Yes,2024-04-16 15:00:00+10:00,2024-04-20 21:00:00+10:00,2024-04-11 15:00:00+10:00
Financial Consolidations Consulting Core - Learn Virtual,Open,Yes,2024-04-16 15:00:00+10:00,2024-04-18 21:00:00+10:00,2024-04-11 15:00:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-16 17:00:00+10:00,2024-04-17 22:00:00+10:00,2024-04-11 17:00:00+10:00
Student Financials Fundamentals - Learn Virtual,Open,Yes,2024-04-16 17:00:00+10:00,2024-04-20 01:00:00+10:00,2024-04-11 17:00:00+10:00
Student Financials Consulting Core - Learn Virtual,Open,Yes,2024-04-16 17:00:00+10:00,2024-04-21 01:00:00+10:00,2024-04-11 17:00:00+10:00
Student Records and Advising Consulting Core - Learn Virtual,Open,Yes,2024-04-16 17:00:00+10:00,2024-04-21 01:00:00+10:00,2024-04-11 17:00:00+10:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-04-16 19:00:00+10:00,2024-04-19 00:00:00+10:00,2024-04-11 19:00:00+10:00
Advanced Configurable Security - Learn Virtual,Open,Yes,2024-04-16 19:00:00+10:00,2024-04-18 00:00:00+10:00,2024-04-11 19:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-04-16 19:00:00+10:00,2024-04-19 00:00:00+10:00,2024-04-11 19:00:00+10:00
Performance Enablement - Learn Virtual,Open,Yes,2024-04-16 19:00:00+10:00,2024-04-19 00:00:00+10:00,2024-04-11 19:00:00+10:00
Payroll Services Practical - Learn Virtual,Open,Yes,2024-04-16 19:00:00+10:00,2024-04-21 03:00:00+10:00,2024-04-11 19:00:00+10:00
Customer Accounts and Customer Contracts - Learn Virtual,Open,Yes,2024-04-16 19:00:00+10:00,2024-04-20 00:00:00+10:00,2024-04-11 19:00:00+10:00
Financial Accounting - Learn Virtual,Open,Yes,2024-04-16 19:00:00+10:00,2024-04-20 00:00:00+10:00,2024-04-11 19:00:00+10:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-16 19:00:00+10:00,2024-04-21 03:00:00+10:00,2024-04-11 19:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-16 09:00:00+10:00,2024-04-19 17:00:00+10:00,2024-04-11 09:00:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 09:00:00+10:00,2024-04-19 18:00:00+10:00,2024-04-11 09:00:00+10:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 10:00:00+10:00,2024-04-19 18:00:00+10:00,2024-04-11 10:00:00+10:00
Performance Enablement - Learn Virtual,Open,Yes,2024-04-16 11:00:00+10:00,2024-04-18 16:00:00+10:00,2024-04-11 11:00:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 11:00:00+10:00,2024-04-19 20:00:00+10:00,2024-04-11 11:00:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-16 17:30:00+10:00,2024-04-20 02:30:00+10:00,2024-04-11 17:30:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-17 01:00:00+10:00,2024-04-20 09:00:00+10:00,2024-04-12 01:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-17 01:00:00+10:00,2024-04-20 09:00:00+10:00,2024-04-12 01:00:00+10:00
Adaptive Planning Fundamentals - Learn Virtual,Open,Yes,2024-04-17 01:00:00+10:00,2024-04-20 08:00:00+10:00,2024-04-12 01:00:00+10:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-17 02:30:00+10:00,2024-04-20 11:30:00+10:00,2024-04-12 02:30:00+10:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-17 02:30:00+10:00,2024-04-20 11:30:00+10:00,2024-04-12 02:30:00+10:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-17 03:00:00+10:00,2024-04-20 11:00:00+10:00,2024-04-12 03:00:00+10:00
Compensation Fundamentals - Learn In-Person,Open,Yes,2024-04-17 03:00:00+10:00,2024-04-20 11:00:00+10:00,2024-04-12 03:00:00+10:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-04-17 03:00:00+10:00,2024-04-20 11:00:00+10:00,2024-04-12 03:00:00+10:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-17 12:30:00+10:00,2024-04-20 21:30:00+10:00,2024-04-12 12:30:00+10:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-17 13:00:00+10:00,2024-04-20 21:00:00+10:00,2024-04-12 13:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-17 13:00:00+10:00,2024-04-20 21:00:00+10:00,2024-04-12 13:00:00+10:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-04-17 13:00:00+10:00,2024-04-20 21:00:00+10:00,2024-04-12 13:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-17 13:00:00+10:00,2024-04-20 21:00:00+10:00,2024-04-12 13:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-19 20:00:00+10:00,2024-04-12 15:00:00+10:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-20 23:00:00+10:00,2024-04-12 15:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-20 23:00:00+10:00,2024-04-12 15:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-20 23:00:00+10:00,2024-04-12 15:00:00+10:00
Recruiting Fundamentals - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-20 23:00:00+10:00,2024-04-12 15:00:00+10:00
Benefits Fundamentals - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-20 23:00:00+10:00,2024-04-12 15:00:00+10:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-20 23:00:00+10:00,2024-04-12 15:00:00+10:00
Workday Studio Consulting Core - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-26 21:00:00+10:00,2024-04-12 15:00:00+10:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-04-17 15:00:00+10:00,2024-04-20 23:00:00+10:00,2024-04-12 15:00:00+10:00
Workday Extend Consulting Core - Learn Virtual,Open,Yes,2024-04-17 17:00:00+10:00,2024-04-26 23:00:00+10:00,2024-04-12 17:00:00+10:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-17 18:30:00+10:00,2024-04-21 03:30:00+10:00,2024-04-12 18:30:00+10:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-04-17 19:00:00+10:00,2024-04-21 03:00:00+10:00,2024-04-12 19:00:00+10:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-04-17 19:00:00+10:00,2024-04-21 03:00:00+10:00,2024-04-12 19:00:00+10:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-17 19:00:00+10:00,2024-04-21 03:00:00+10:00,2024-04-12 19:00:00+10:00
Advanced Workday Studio - Learn Virtual,Open,Yes,2024-04-17 13:00:00+10:00,2024-04-19 18:00:00+10:00,2024-04-12 13:00:00+10:00
Report Writer - Learn Virtual,Open,Yes,2024-04-18 03:00:00+10:00,2024-04-20 08:00:00+10:00,2024-04-13 03:00:00+10:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-04-18 13:00:00+10:00,2024-04-20 18:00:00+10:00,2024-04-13 13:00:00+10:00
Performance Enablement - Learn Virtual,Open,Yes,2024-04-18 13:00:00+10:00,2024-04-20 18:00:00+10:00,2024-04-13 13:00:00+10:00
Workday Extend: Advanced Data and Orchestration Services - Learn Virtual,Open,Yes,2024-04-18 13:00:00+10:00,2024-04-20 18:00:00+10:00,2024-04-13 13:00:00+10:00
Connectors and Document Transformation - Learn Virtual,Open,Yes,2024-04-18 15:00:00+10:00,2024-04-20 20:00:00+10:00,2024-04-15 15:00:00+10:00
Prism Analytics - Learn Virtual,Open,Yes,2024-04-18 17:00:00+10:00,2024-04-20 22:00:00+10:00,2024-04-15 17:00:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-18 11:00:00+10:00,2024-04-19 16:00:00+10:00,2024-04-15 11:00:00+10:00
Advanced Business Process - Learn Virtual,Open,Yes,2024-04-19 03:00:00+10:00,2024-04-20 08:00:00+10:00,2024-04-16 03:00:00+10:00
Integration Security - Learn Virtual,Open,Yes,2024-04-19 13:00:00+10:00,2024-04-20 18:00:00+10:00,2024-04-16 13:00:00+10:00
Workday Report Designer (BIRT) - Learn Virtual,Open,Yes,2024-04-19 13:00:00+10:00,2024-04-20 18:00:00+10:00,2024-04-16 13:00:00+10:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-04-19 13:00:00+10:00,2024-04-20 18:00:00+10:00,2024-04-16 13:00:00+10:00
Introduction to Workday Studio - Learn Virtual,Open,Yes,2024-04-19 13:00:00+10:00,2024-04-20 18:00:00+10:00,2024-04-16 13:00:00+10:00
Talent Management - Learn Virtual,Open,Yes,2024-04-19 19:00:00+10:00,2024-04-21 00:00:00+10:00,2024-04-16 19:00:00+10:00
Compensation Consulting Core - Learn Virtual,Open,Yes,2024-04-22 11:00:00+10:00,2024-04-26 20:00:00+10:00,2024-04-17 11:00:00+10:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-22 11:00:00+10:00,2024-04-25 19:00:00+10:00,2024-04-17 11:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-22 11:00:00+10:00,2024-04-26 19:00:00+10:00,2024-04-17 11:00:00+10:00
Talent Optimization Consulting Core - Learn Virtual,Open,Yes,2024-04-22 11:00:00+10:00,2024-04-26 19:00:00+10:00,2024-04-17 11:00:00+10:00
Advanced Compensation Fundamentals - Learn Virtual,Open,Yes,2024-04-22 13:00:00+10:00,2024-04-25 21:00:00+10:00,2024-04-17 13:00:00+10:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-22 12:00:00+10:00,2024-04-26 20:00:00+10:00,2024-04-17 12:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-22 11:00:00+10:00,2024-04-26 19:00:00+10:00,2024-04-17 11:00:00+10:00
Advanced Compensation Consulting Core - Learn Virtual,Open,Yes,2024-04-22 13:00:00+10:00,2024-04-26 22:00:00+10:00,2024-04-17 13:00:00+10:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-04-22 13:00:00+10:00,2024-04-24 18:00:00+10:00,2024-04-17 13:00:00+10:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-04-22 12:00:00+10:00,2024-04-26 18:00:00+10:00,2024-04-17 12:00:00+10:00
Financial Accounting - Learn Virtual,Open,Yes,2024-04-22 12:00:00+10:00,2024-04-25 17:00:00+10:00,2024-04-17 12:00:00+10:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-04-22 18:00:00+10:00,2024-04-27 00:00:00+10:00,2024-04-17 18:00:00+10:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-04-22 18:00:00+10:00,2024-04-27 02:00:00+10:00,2024-04-17 18:00:00+10:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-04-22 20:30:00+10:00,2024-04-27 02:30:00+10:00,2024-04-17 20:30:00+10:00
Advanced Compensation Consulting Core - Learn Virtual,Open,Yes,2024-04-23 00:30:00+10:00,2024-04-27 09:30:00+10:00,2024-04-18 00:30:00+10:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-23 00:30:00+10:00,2024-04-26 09:30:00+10:00,2024-04-18 00:30:00+10:00
Talent Management - Learn Virtual,Open,Yes,2024-04-23 03:00:00+10:00,2024-04-24 08:00:00+10:00,2024-04-18 03:00:00+10:00
Prism Analytics - Learn Virtual,Open,Yes,2024-04-23 03:00:00+10:00,2024-04-25 08:00:00+10:00,2024-04-18 03:00:00+10:00
Calculated Fields - Learn Virtual,Open,Yes,2024-04-23 03:00:00+10:00,2024-04-24 08:00:00+10:00,2024-04-18 03:00:00+10:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-04-23 03:00:00+10:00,2024-04-27 11:00:00+10:00,2024-04-18 03:00:00+10:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-04-23 03:00:00+10:00,2024-04-24 08:00:00+10:00,2024-04-18 03:00:00+10:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-04-23 03:00:00+10:00,2024-04-24 08:00:00+10:00,2024-04-18 03:00:00+10:00
HCM Reporting Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-23 12:30:00+10:00,2024-04-27 20:30:00+10:00,2024-04-18 12:30:00+10:00
Payroll Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-04-23 12:30:00+10:00,2024-04-27 21:30:00+10:00,2024-04-18 12:30:00+10:00
Advanced Data Conversion Consulting Core - Learn Virtual,Open,Yes,2024-04-23 13:00:00+10:00,2024-04-27 18:00:00+10:00,2024-04-18 13:00:00+10:00
