Learning Content,Availability Status,Available Capacity,Sydney Start Date,Sydney End Date,Sydney Registration Deadline
Payroll Fundamentals - Learn Virtual,Open,Yes,2024-03-13 21:00:00+11:00,2024-03-17 05:00:00+11:00,2024-03-08 23:00:00+11:00
HCM Fundamentals - Learn In-Person,Open,Yes,2024-03-13 21:00:00+11:00,2024-03-17 05:00:00+11:00,2024-03-08 23:00:00+11:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-03-13 21:00:00+11:00,2024-03-17 05:00:00+11:00,2024-03-08 23:00:00+11:00
HCM Fundamentals - Learn Virtual,Open,Yes,2024-03-13 21:00:00+11:00,2024-03-17 05:00:00+11:00,2024-03-08 23:00:00+11:00
Learning Fundamentals - Learn In-Person,Open,Yes,2024-03-13 21:00:00+11:00,2024-03-17 05:00:00+11:00,2024-03-08 23:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-13 21:00:00+11:00,2024-03-17 05:00:00+11:00,2024-03-08 23:00:00+11:00
Connectors and Document Transformation - Learn Virtual,Open,Yes,2024-03-13 15:00:00+11:00,2024-03-15 20:00:00+11:00,2024-03-08 16:00:00+11:00
Report Writer - Learn Virtual,Open,Yes,2024-03-14 07:00:00+11:00,2024-03-16 12:00:00+11:00,2024-03-09 08:00:00+11:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-03-14 07:00:00+11:00,2024-03-16 12:00:00+11:00,2024-03-09 08:00:00+11:00
Workday Extend: Advanced Data and Orchestration Services - Learn Virtual,Open,Yes,2024-03-14 07:00:00+11:00,2024-03-16 12:00:00+11:00,2024-03-09 08:00:00+11:00
Performance Enablement - Learn Virtual,Open,Yes,2024-03-14 15:00:00+11:00,2024-03-16 20:00:00+11:00,2024-03-11 15:00:00+11:00
Workday Extend: Advanced Presentation Components - Learn Virtual,Open,Yes,2024-03-14 17:00:00+11:00,2024-03-16 22:00:00+11:00,2024-03-11 17:00:00+11:00
Prism Analytics - Learn Virtual,Open,Yes,2024-03-14 21:00:00+11:00,2024-03-17 02:00:00+11:00,2024-03-11 21:00:00+11:00
Advanced Configurable Security - Learn Virtual,Open,Yes,2024-03-15 15:00:00+11:00,2024-03-16 20:00:00+11:00,2024-03-12 15:00:00+11:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-03-15 15:00:00+11:00,2024-03-16 20:00:00+11:00,2024-03-12 15:00:00+11:00
Absence and Leave Consulting Core - Learn Virtual,Open,Yes,2024-03-18 13:00:00+11:00,2024-03-22 22:00:00+11:00,2024-03-13 13:00:00+11:00
Time Off Fundamentals - Learn Virtual,Open,Yes,2024-03-18 15:00:00+11:00,2024-03-21 23:00:00+11:00,2024-03-13 15:00:00+11:00
Procure to Pay Consulting Core - Learn Virtual,Open,Yes,2024-03-18 12:00:00+11:00,2024-03-22 18:00:00+11:00,2024-03-13 12:00:00+11:00
Procure to Pay Fundamentals - Learn Virtual,Open,Yes,2024-03-18 12:00:00+11:00,2024-03-21 17:00:00+11:00,2024-03-13 12:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-03-18 20:00:00+11:00,2024-03-23 04:00:00+11:00,2024-03-13 20:00:00+11:00
Custom Integrations Consulting Core - Learn Virtual,Open,Yes,2024-03-18 20:00:00+11:00,2024-03-23 02:00:00+11:00,2024-03-13 20:00:00+11:00
HCM Services Practical - Learn Virtual,Open,Yes,2024-03-18 23:30:00+11:00,2024-03-23 07:30:00+11:00,2024-03-13 23:30:00+11:00
Recruiting Consulting Core - Learn Virtual,Open,Yes,2024-03-19 04:30:00+11:00,2024-03-23 13:30:00+11:00,2024-03-14 04:30:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 04:30:00+11:00,2024-03-22 13:30:00+11:00,2024-03-14 04:30:00+11:00
Reporting Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 04:30:00+11:00,2024-03-23 13:30:00+11:00,2024-03-14 04:30:00+11:00
Time Tracking Fundamentals - Learn Virtual,Open,Yes,2024-03-19 05:00:00+11:00,2024-03-22 13:00:00+11:00,2024-03-14 05:00:00+11:00
Talent Optimization Consulting Core - Learn Virtual,Open,Yes,2024-03-19 05:00:00+11:00,2024-03-23 13:00:00+11:00,2024-03-14 05:00:00+11:00
Absence and Leave Consulting Core - Learn Virtual,Open,Yes,2024-03-19 06:30:00+11:00,2024-03-23 15:30:00+11:00,2024-03-14 06:30:00+11:00
Compensation Consulting Core - Learn Virtual,Open,Yes,2024-03-19 06:30:00+11:00,2024-03-23 15:30:00+11:00,2024-03-14 06:30:00+11:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-03-19 07:00:00+11:00,2024-03-20 12:00:00+11:00,2024-03-14 07:00:00+11:00
Workday Integration System Fundamentals - Learn Virtual,Open,Yes,2024-03-19 07:00:00+11:00,2024-03-20 12:00:00+11:00,2024-03-14 07:00:00+11:00
Financial Accounting - Learn Virtual,Open,Yes,2024-03-19 07:00:00+11:00,2024-03-22 12:00:00+11:00,2024-03-14 07:00:00+11:00
Financial Accounting Consulting Core - Learn Virtual,Open,Yes,2024-03-19 07:00:00+11:00,2024-03-23 13:00:00+11:00,2024-03-14 07:00:00+11:00
Procure to Pay Consulting Core - Learn Virtual,Open,Yes,2024-03-19 07:00:00+11:00,2024-03-23 13:00:00+11:00,2024-03-14 07:00:00+11:00
Financial Reporting Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-19 14:30:00+11:00,2024-03-23 22:30:00+11:00,2024-03-14 14:30:00+11:00
Advanced Compensation Consulting Core - Learn Virtual,Open,Yes,2024-03-19 14:30:00+11:00,2024-03-23 23:30:00+11:00,2024-03-14 14:30:00+11:00
Student Recruiting and Admissions Fundamentals - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-21 20:00:00+11:00,2024-03-14 15:00:00+11:00
Student Recruiting and Admissions Consulting Core - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-22 23:00:00+11:00,2024-03-14 15:00:00+11:00
Composite Reporting Fundamentals - Learn Virtual,Open,Yes,2024-03-19 15:00:00+11:00,2024-03-21 20:00:00+11:00,2024-03-14 15:00:00+11:00
